Chain ID,Start Time,End Time,Techniques,Tactic,Confidence Score,Explanation,Duration,Num Events
5986,2021-03-02 16:52:52.837,2021-03-02 16:52:52.837,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
5974,2021-03-02 16:52:52.840,2021-03-02 16:52:52.840,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
5975,2021-03-02 16:52:52.840,2021-03-02 16:52:52.840,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
5978,2021-03-02 16:52:52.840,2021-03-02 16:52:52.840,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
5943,2021-03-02 16:52:52.873,2021-03-02 16:52:52.873,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
5876,2021-03-02 16:52:52.934,2021-03-02 16:52:52.934,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
5875,2021-03-02 16:52:52.945,2021-03-02 16:52:52.945,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
5857,2021-03-02 16:52:52.950,2021-03-02 16:52:52.950,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
5864,2021-03-02 16:52:52.950,2021-03-02 16:52:52.950,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
5852,2021-03-02 16:52:52.966,2021-03-02 16:52:52.966,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
5824,2021-03-02 16:52:52.974,2021-03-02 16:52:52.974,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7033,2021-03-02 16:52:53.043,2021-03-02 16:52:53.043,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7032,2021-03-02 16:52:53.054,2021-03-02 16:52:53.054,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7020,2021-03-02 16:52:53.068,2021-03-02 16:52:53.068,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7018,2021-03-02 16:52:53.071,2021-03-02 16:52:53.071,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
7014,2021-03-02 16:52:53.074,2021-03-02 16:52:53.074,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6987,2021-03-02 16:52:53.090,2021-03-02 16:52:53.090,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6918,2021-03-02 16:52:53.153,2021-03-02 16:52:53.153,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6917,2021-03-02 16:52:53.164,2021-03-02 16:52:53.164,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6906,2021-03-02 16:52:53.174,2021-03-02 16:52:53.174,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6908,2021-03-02 16:52:53.174,2021-03-02 16:52:53.174,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6899,2021-03-02 16:52:53.184,2021-03-02 16:52:53.184,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6873,2021-03-02 16:52:53.200,2021-03-02 16:52:53.200,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6802,2021-03-02 16:52:53.274,2021-03-02 16:52:53.274,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6803,2021-03-02 16:52:53.274,2021-03-02 16:52:53.274,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6804,2021-03-02 16:52:53.274,2021-03-02 16:52:53.274,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6807,2021-03-02 16:52:53.274,2021-03-02 16:52:53.274,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
6801,2021-03-02 16:52:53.293,2021-03-02 16:52:53.293,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
